,id,name,listing_url,bathrooms_text,room_type,bedrooms,beds
87,4486217,Rental unit in Singapore · ★4.22 · Studio · 2 beds · 1 bath,https://www.airbnb.com/rooms/4486217,1 bath,Entire home/apt,,2.0
88,4499317,Aparthotel in Singapore · ★4.80 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/4499317,1 bath,Entire home/apt,,1.0
89,4526703,Condo in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/4526703,1 shared bath,Private room,,1.0
90,4541072,Rental unit in Singapore · ★4.25 · 1 bedroom · 1 bed · 2 shared baths,https://www.airbnb.com/rooms/4541072,2 shared baths,Private room,,1.0
91,4541183,Aparthotel in Singapore · ★4.79 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/4541183,1 bath,Entire home/apt,,1.0
92,4561032,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/4561032,1 private bath,Private room,,1.0
93,4640273,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/4640273,1 bath,Private room,1.0,1.0
94,4664392,Home in Singapore · ★4.58 · 1 bedroom · 1 bed · 1.5 baths,https://www.airbnb.com/rooms/4664392,1.5 baths,Entire home/apt,1.0,1.0
95,4712676,Condo in Singapore · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/4712676,1 private bath,Private room,,1.0
96,4722005,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/4722005,1 bath,Private room,1.0,2.0
97,4741630,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/4741630,1 private bath,Private room,,1.0
98,4771752,Rental unit in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/4771752,1 shared bath,Private room,,1.0
99,4863317,Rental unit in Singapore · 1 bedroom · 1 bed · 2 shared baths,https://www.airbnb.com/rooms/4863317,2 shared baths,Private room,,1.0
100,4869221,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/4869221,1 private bath,Private room,,1.0
101,4899063,Home in Singapore · 1 bedroom · 3 beds · 2 shared baths,https://www.airbnb.com/rooms/4899063,2 shared baths,Shared room,,3.0
102,4926170,Home in Singapore · ★3.67 · 1 bedroom · 1 bed · 2.5 shared baths,https://www.airbnb.com/rooms/4926170,2.5 shared baths,Private room,,1.0
103,4926192,Condo in Singapore · 1 bedroom · 2 beds · 1 private bath,https://www.airbnb.com/rooms/4926192,1 private bath,Private room,1.0,2.0
104,4973227,Aparthotel in Singapore · ★4.71 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/4973227,1 bath,Entire home/apt,,1.0
105,4989903,Rental unit in Singapore · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/4989903,1 shared bath,Private room,,1.0
106,5040689,Townhouse in Singapore · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/5040689,1 shared bath,Private room,,1.0
107,5052014,Serviced apartment in Singapore · ★4.69 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/5052014,1 bath,Entire home/apt,,1.0
108,5116961,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/5116961,1 bath,Private room,,1.0
109,5233415,Serviced apartment in Singapore · ★4.80 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/5233415,1 bath,Entire home/apt,,1.0
110,5253599,Rental unit in Singapore · ★4.70 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/5253599,1 bath,Entire home/apt,,1.0
111,5319766,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/5319766,1 bath,Private room,1.0,1.0
112,5339318,Rental unit in Singapore · ★5.0 · 2 bedrooms · 2 beds · 1 bath,https://www.airbnb.com/rooms/5339318,1 bath,Entire home/apt,2.0,2.0
113,5406502,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/5406502,1 bath,Private room,,1.0
114,5436010,Rental unit in Singapore · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/5436010,1 shared bath,Private room,,1.0
115,5446857,Serviced apartment in Singapore · ★4.33 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/5446857,1 bath,Entire home/apt,,1.0
116,5448209,Serviced apartment in Singapore · ★4.80 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/5448209,1 bath,Entire home/apt,,1.0
117,5464246,Home in Singapore · ★4.91 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/5464246,1 private bath,Private room,,1.0
118,5504230,Condo in Singapore · ★4.43 · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/5504230,1 bath,Entire home/apt,1.0,2.0
119,5529062,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/5529062,1 bath,Entire home/apt,1.0,1.0
