,name,lat,lng,stop_id
153,LITTLE INDIA MRT STATION,1.306800025,103.849647,NE7
154,STEVENS MRT STATION,1.320065557,103.8260244,DT10
155,BUKIT PANJANG MRT STATION,1.379002117,103.7615351,DT1
156,CASHEW MRT STATION,1.369369831,103.7646944,DT2
157,SIXTH AVENUE MRT STATION,1.330786387,103.7972463,DT7
158,TOA PAYOH MRT STATION,1.332628987,103.8475018,NS19
159,WOODLANDS SOUTH MRT STATION,1.427259979,103.7938509,TE3
160,POTONG PASIR MRT STATION,1.331379525,103.8690557,NE10
161,HOUGANG MRT STATION,1.371292292,103.8923805,NE14
162,BOON KENG MRT STATION,1.319395706,103.8616865,NE9
163,UPPER CHANGI MRT STATION,1.341737484,103.9614718,DT34
164,CHANGI AIRPORT MRT STATION,1.357314545,103.9883647,CG2
165,WOODLANDS MRT STATION,1.436066981,103.7879308,TE2
166,BRADDELL MRT STATION,1.340471684,103.8467978,NS18
167,BUANGKOK MRT STATION,1.382877858,103.8931216,NE15
168,PROMENADE MRT STATION,1.293218051,103.8609992,CC4
169,BOTANIC GARDENS MRT STATION,1.322110193,103.8149828,CC19
170,HOLLAND VILLAGE MRT STATION,1.31183479,103.7961918,CC21
171,OUTRAM PARK MRT STATION,1.281404978,103.8391265,EW16
172,TELOK BLANGAH MRT STATION,1.270753211,103.8097486,CC28
173,TELOK AYER MRT STATION,1.282289536,103.8483028,DT18
174,NEWTON MRT STATION,1.3123201,103.8379853,NS21
175,CANBERRA MRT STATION,1.4431367,103.8297118,NS12
176,WOODLANDS NORTH MRT STATION,1.4482925,103.7856927,TE1
177,JURONG EAST MRT STATION,1.33315262,103.7422865,EW24 / NS1
178,JURONG EAST MRT STATION,1.33315262,103.7422865,EW24 / NS1
179,CITY HALL MRT STATION,1.292936243,103.8525859,EW13 / NS25
180,CITY HALL MRT STATION,1.292936243,103.8525859,EW13 / NS25
181,HARBOURFRONT MRT STATION,1.26547264,103.8214431,NE1 / CC29
182,HARBOURFRONT MRT STATION,1.26547264,103.8214431,NE1 / CC29
183,BAYFRONT MRT STATION,1.281873788,103.8590798,DT16 / CE1
184,BAYFRONT MRT STATION,1.281873788,103.8590798,DT16 / CE1
185,RAFFLES PLACE MRT STATION,1.284125611,103.8514617,EW14 / NS26
186,RAFFLES PLACE MRT STATION,1.284125611,103.8514617,EW14 / NS26
187,PUNGGOL LRT STATION,1.405194701,103.9024119,PTC
188,PUNGGOL LRT STATION,1.405194701,103.9024119,PTC
189,SENGKANG LRT STATION,1.391609364,103.8954426,STC
190,SENGKANG LRT STATION,1.391609364,103.8954426,STC
191,MACPHERSON MRT STATION,1.326345372,103.890287,CC10
192,KENT RIDGE MRT STATION,1.293462633,103.7846314,CC24
193,ONE-NORTH MRT STATION,1.299759879,103.7874575,CC23
194,BISHAN MRT STATION,1.35130868,103.8491544,CC15
195,STADIUM MRT STATION,1.30284063,103.8753503,CC6
196,BUKIT BROWN MRT STATION,1.333728882,103.8306896,CC18
197,MOUNTBATTEN MRT STATION,1.306201905,103.8825281,CC7
198,FARRER ROAD MRT STATION,1.317510612,103.8075861,CC20
199,BUONA VISTA MRT STATION,1.306491669,103.7906534,CC22
200,NICOLL HIGHWAY MRT STATION,1.299766835,103.863637,CC5
201,CALDECOTT MRT STATION,1.337674508,103.8395298,CC17
202,LABRADOR PARK MRT STATION,1.272332732,103.8029396,CC27
203,SERANGOON MRT STATION,1.350595256,103.8723681,CC13
204,PAYA LEBAR MRT STATION,1.317430268,103.8921788,CC9
205,BARTLEY MRT STATION,1.342828338,103.8797589,CC12
206,DAKOTA MRT STATION,1.308382639,103.8886626,CC8
207,PASIR PANJANG MRT STATION,1.276213523,103.7913503,CC26
208,MARYMOUNT MRT STATION,1.348707263,103.8394231,CC16
209,HAW PAR VILLA MRT STATION,1.282542157,103.7818105,CC25
210,LORONG CHUAN MRT STATION,1.351612171,103.8641519,CC14
211,TAI SENG MRT STATION,1.335433322,103.8881949,CC11
212,PROMENADE MRT STATION,1.293218051,103.8609992,CC4
213,BOTANIC GARDENS MRT STATION,1.322110193,103.8149828,CC19
214,HOLLAND VILLAGE MRT STATION,1.31183479,103.7961918,CC21
215,TELOK BLANGAH MRT STATION,1.270753211,103.8097486,CC28
216,HARBOURFRONT MRT STATION,1.26547264,103.8214431,NE1 / CC29
217,EUNOS MRT STATION,1.319778952,103.9032525,EW7
218,CHINESE GARDEN MRT STATION,1.342352821,103.7325967,EW25
219,REDHILL MRT STATION,1.289562726,103.8168167,EW18
220,PIONEER MRT STATION,1.337586882,103.6973215,EW28
221,COMMONWEALTH MRT STATION,1.302438735,103.7983045,EW20
222,PAYA LEBAR MRT STATION,1.318112082,103.8930604,EW8
223,CLEMENTI MRT STATION,1.314954492,103.7652989,EW23
224,ALJUNIED MRT STATION,1.316432612,103.882906,EW9
225,QUEENSTOWN MRT STATION,1.294860933,103.8058843,EW19
226,TUAS LINK MRT STATION,1.340463766,103.6368787,EW33
227,GUL CIRCLE MRT STATION,1.319505215,103.660553,EW30
228,TUAS CRESCENT MRT STATION,1.321026553,103.6490755,EW31
229,KALLANG MRT STATION,1.31148891,103.8713865,EW10
230,TUAS WEST ROAD MRT STATION,1.329989089,103.6396141,EW32
231,BUONA VISTA MRT STATION,1.307183467,103.7901915,EW21
232,DOVER MRT STATION,1.311405293,103.7786378,EW22
233,KEMBANGAN MRT STATION,1.321038249,103.9129494,EW6
234,BOON LAY MRT STATION,1.338604055,103.7060646,EW27
235,BEDOK MRT STATION,1.323979969,103.9299845,EW5
236,JOO KOON MRT STATION,1.327717173,103.6783751,EW29
237,LAKESIDE MRT STATION,1.344259249,103.7209493,EW26
238,TANAH MERAH MRT STATION,1.327187135,103.9463465,EW4
239,TANJONG PAGAR MRT STATION,1.276521247,103.8458642,EW15
240,BUGIS MRT STATION,1.300465076,103.8557064,EW12
241,TIONG BAHRU MRT STATION,1.286193393,103.8270194,EW17
242,LAVENDER MRT STATION,1.30735702,103.8628292,EW11
243,OUTRAM PARK MRT STATION,1.281404978,103.8391265,EW16
244,JURONG EAST MRT STATION,1.33315262,103.7422865,EW24 / NS1
245,CITY HALL MRT STATION,1.292936243,103.8525859,EW13 / NS25
246,RAFFLES PLACE MRT STATION,1.284125611,103.8514617,EW14 / NS26
